"# Study Name: 40 cycle data",,,,,,,,
"# Study Description: ",,,,,,,,
"# Study Comments: ",,,,,,,,
"# Created By: GUEST",,,,,,,,
"# Last Modified Date/Time: 05-13-2014 10:55:39 EDT",,,,,,,,
"# Number of Experiments in Study: 1",,,,,,,,
"# Instrument Type in the Study: QuantStudioﾙ 12K Flex Real-Time PCR System",,,,,,,,
"# Barcode: LJE04 ",,,,,,,,
"# Normalization Method: Endogenous Control = [U6 rRNA_001973  RNU44_001094  RNU48_001006]",,,,,,,,
"# Reference Sample: KW1_1B",,,,,,,,
"# Max CT: 40.0",,,,,,,,
"# Default CRT Analysis Start Cycle: 1.0",,,,,,,,
"# Efficiency:",,,,,,,,
"# RQ Min/Max Calculation: Confidence Level = 95.0% ",,,,,,,,
,,,,,,,,
"Experiment Name","Barcode","Well","Cycle Number","Sample Name","Target Name","Rn","dRn","Omit"
"40cyc_LJE04_2013_07_31_093242.eds","LJE04","C5g3",6,"KW3_1A","hsa-let-7a_000377",1233.135,20.52,
"40cyc_LJE04_2013_07_31_093242.eds","LJE04","C5g3",7,"KW3_1A","hsa-let-7a_000377",1238.977,21.893,
"40cyc_LJE04_2013_07_31_093242.eds","LJE04","C5g3",8,"KW3_1A","hsa-let-7a_000377",1223.251,7.546,
"40cyc_LJE04_2013_07_31_093242.eds","LJE04","C5g3",9,"KW3_1A","hsa-let-7a_000377",1220.046,1.731,
"40cyc_LJE04_2013_07_31_093242.eds","LJE04","C5g3",10,"KW3_1A","hsa-let-7a_000377",1220.105,-2.032,
"40cyc_LJE04_2013_07_31_093242.eds","LJE04","C5g3",11,"KW3_1A","hsa-let-7a_000377",1200.995,-17.581,
"40cyc_LJE04_2013_07_31_093242.eds","LJE04","C5g3",12,"KW3_1A","hsa-let-7a_000377",1220.525,-2.824,
"40cyc_LJE04_2013_07_31_093242.eds","LJE04","C5g3",13,"KW3_1A","hsa-let-7a_000377",1245.926,18.73,
"40cyc_LJE04_2013_07_31_093242.eds","LJE04","C5g3",14,"KW3_1A","hsa-let-7a_000377",1254.493,28.953,
"40cyc_LJE04_2013_07_31_093242.eds","LJE04","C5g3",15,"KW3_1A","hsa-let-7a_000377",1283.339,58.175,
